city name,cloudiness,country,date,max_temp,humidity,lat,lng,wind_speed
Boueni,97,YT,1644254775,76.98,75,-12.9025,45.0761,8.66
East London,0,ZA,1644254629,76.14,88,-33.0153,27.9116,12.66
Pedernales,11,DO,1644254776,81.52,60,18.0384,-71.744,4.74
Guerrero Negro,0,MX,1644254776,64.89,33,27.9769,-114.0611,0.67
Yerbogachën,100,RU,1644254776,-20.56,100,61.2767,108.0108,3.74
Port Lincoln,48,AU,1644254777,76.78,47,-34.7333,135.8667,14.32
Marystown,82,CA,1644254777,28.85,100,47.1666,-55.1483,7.0
Camaçari,40,BR,1644254777,87.57,53,-12.6975,-38.3242,11.27
Caravelas,79,BR,1644254763,85.86,60,-17.7125,-39.2481,9.15
Nemuro,26,JP,1644254778,21.02,79,43.3236,145.575,6.76
Haines Junction,83,CA,1644254677,10.13,97,60.7522,-137.5108,4.34
Muravlenko,51,RU,1644254778,-9.31,98,63.7898,74.523,10.56
Grand Falls,100,CA,1644254779,25.45,91,47.0461,-67.7418,8.28
South Kazakhstan Region,100,KZ,1644254779,34.56,71,43.0,68.0,6.91
Hithadhoo,85,MV,1644254780,82.56,70,-0.6,73.0833,15.97
Esperance,28,AU,1644254607,62.44,68,-33.8667,121.9,21.92
Atar,92,MR,1644254780,90.32,6,20.5169,-13.0499,8.08
Bodmin,96,GB,1644254781,50.85,95,50.4715,-4.7243,12.66
Sinnamary,89,GF,1644254781,82.13,74,5.3833,-52.95,9.4
Mahébourg,75,MU,1644254781,79.09,83,-20.4081,57.7,5.75
Thessalon,100,CA,1644254782,27.36,88,46.2501,-83.5666,7.81
Bayir,89,TR,1644254641,52.32,96,37.2687,28.2167,8.23
Skawina,75,PL,1644254782,36.52,80,49.9752,19.8287,9.22
Korampallam,58,IN,1644254782,78.91,73,8.7667,78.1,8.86
Cabedelo,88,BR,1644254783,88.47,59,-6.9811,-34.8339,10.33
Belmonte,21,BR,1644254783,84.7,62,-15.8631,-38.8828,10.25
Semnan,20,IR,1644254783,44.44,39,35.5729,53.3971,2.3
Rome,0,US,1644254784,39.09,61,43.2128,-75.4557,9.22
Nekrasovka,0,RU,1644254784,-7.58,77,48.3525,135.2325,0.0
Camopi,78,GF,1644254784,81.12,83,3.1655,-52.3158,3.96
Kahului,0,US,1644254785,73.85,79,20.8947,-156.47,14.97
San Quintín,0,MX,1644254785,65.1,27,30.4833,-115.95,0.83
Kuala Terengganu,40,MY,1644254785,78.75,94,5.3302,103.1408,3.44
Flin Flon,40,CA,1644254786,17.44,79,54.7682,-101.865,8.05
Kiryat Gat,1,IL,1644254786,58.41,100,31.61,34.7642,1.79
Mhango,100,TZ,1644254786,64.53,89,-3.2833,32.85,4.14
Khatanga,100,RU,1644254787,-19.19,97,71.9667,102.5,10.45
Makakilo City,0,US,1644254658,71.92,69,21.3469,-158.0858,10.36
Healesville,0,AU,1644254787,61.99,76,-37.65,145.5167,2.59
Adrar,92,MR,1644254788,82.9,6,20.5022,-10.0711,10.58
Grand-Santi,90,GF,1644254788,86.38,63,4.25,-54.3833,3.96
Constitución,39,CL,1644254788,70.18,62,-35.3333,-72.4167,6.96
Touros,44,BR,1644254789,88.7,55,-5.1989,-35.4608,14.88
Şırnak,5,TR,1644254789,25.68,77,37.5228,42.4594,5.79
Pidigan,82,PH,1644254789,72.32,84,17.57,120.5903,3.18
Kavieng,97,PG,1644254591,81.39,79,-2.5744,150.7967,5.64
Rocha,74,UY,1644254790,71.94,58,-34.4833,-54.3333,16.24
Broken Hill,64,AU,1644254790,71.31,33,-31.95,141.4333,8.05
São João da Barra,4,BR,1644254791,87.89,80,-21.6403,-41.0511,15.19
Wanning,63,CN,1644254791,69.6,94,18.8003,110.3967,3.87
Meadow Lake,0,US,1644254792,38.16,63,34.8014,-106.5436,4.97
Margate,10,GB,1644254792,48.9,65,51.3813,1.3862,4.0
Saldanha,52,ZA,1644254617,66.63,89,-33.0117,17.9442,15.39
Atikokan,96,CA,1644254793,7.21,89,48.7555,-91.6216,4.99
Korla,95,CN,1644254793,25.79,45,41.7597,86.1469,4.0
Ukiah,0,US,1644254793,57.65,69,39.1502,-123.2078,0.0
Narsaq,100,GL,1644254794,10.62,53,60.9167,-46.05,32.86
Charters Towers,95,AU,1644254794,70.41,84,-20.1,146.2667,7.34
Coffs Harbour,40,AU,1644254632,64.36,82,-30.3,153.1333,12.66
Ulladulla,79,AU,1644254794,62.87,86,-35.35,150.4667,6.13
Bandarbeyla,46,SO,1644254795,75.94,69,9.4942,50.8122,18.95
Larsnes,98,NO,1644254795,42.01,83,62.2028,5.5773,13.09
Morondava,100,MG,1644254795,81.32,82,-20.2833,44.2833,20.92
Camabatela,77,AO,1644254796,69.71,75,-8.1881,15.375,2.35
Mitsamiouli,40,KM,1644254796,82.69,83,-11.3847,43.2844,11.5
College,100,US,1644254797,-2.25,76,64.8569,-147.8028,4.61
Lumphat,92,KH,1644254797,78.42,66,13.4878,106.9816,5.28
Iqaluit,100,CA,1644254797,-15.07,76,63.7506,-68.5145,10.36
Merrillville,40,US,1644254669,24.94,74,41.4828,-87.3328,11.5
Saint George,0,US,1644254667,50.47,35,37.1041,-113.5841,6.91
Bitkine,4,TD,1644254798,81.28,12,11.9801,18.2138,7.63
Petropavlovsk-Kamchatskiy,75,RU,1644254798,25.39,100,53.0452,158.6483,8.95
Port Moresby,20,PG,1644254799,74.62,94,-9.4431,147.1797,3.44
Fort Nelson,75,CA,1644254799,24.39,93,58.8053,-122.7002,0.0
Atasū,100,KZ,1644254799,19.94,89,48.6814,71.6433,10.13
Örnsköldsvik,12,SE,1644254800,22.15,93,63.2909,18.7153,6.91
Ubari,20,LY,1644254800,64.42,13,26.5921,12.7805,8.63
Severo-Kuril'sk,80,RU,1644254702,28.98,84,50.6789,156.125,3.76
Longyearbyen,100,SJ,1644254801,17.44,79,78.2186,15.6401,3.44
Srednekolymsk,59,RU,1644254801,-40.67,100,67.45,153.6833,4.59
Seymchan,36,RU,1644254801,-38.29,99,62.8833,152.4333,0.76
Duluth,100,US,1644254589,17.08,66,46.7833,-92.1066,10.36
Coquimbo,75,CL,1644254613,67.73,68,-29.9533,-71.3436,9.22
Krasnopillya,100,UA,1644254802,33.62,99,50.7746,35.2597,12.53
Sumbuya,85,SL,1644254802,92.52,38,7.6467,-11.9611,7.63
Natitingou,18,BJ,1644254803,93.33,10,10.3042,1.3796,6.29
Ugoofaaru,20,MV,1644254703,80.73,74,5.6667,73.0,12.66
Padang,88,ID,1644254611,77.31,80,-0.9492,100.3543,3.29
Camacha,40,PT,1644254803,62.02,72,33.0833,-16.3333,16.11
Kalmunai,100,LK,1644254616,77.45,82,7.4167,81.8167,9.53
Uray,72,RU,1644254804,2.61,98,60.1247,64.7758,6.46
Fuerte Olimpo,56,PY,1644254804,94.62,20,-21.0415,-57.8738,7.47
Broome,0,US,1644254804,38.32,64,42.2506,-75.833,8.05
Kusa,99,RU,1644254805,9.93,97,55.3383,59.4406,3.27
Gizo Government Station,100,SB,1644254805,82.67,80,-8.103,156.8419,11.83
Apatity,100,RU,1644254806,14.04,95,67.5641,33.4031,6.26
Chipiona,0,ES,1644254806,68.18,52,36.7366,-6.437,10.36
Praia,0,CV,1644254806,79.34,53,14.9215,-23.5087,16.11
Flinders,46,AU,1644254807,63.05,81,-34.5833,150.8552,7.9
Springbok,71,ZA,1644254807,82.24,26,-29.6643,17.8865,9.93
Comodoro Rivadavia,0,AR,1644254807,89.46,19,-45.8667,-67.5,12.66
Winnemucca,0,US,1644254808,40.1,48,40.973,-117.7357,8.05
Grindavik,75,IS,1644254752,32.47,74,63.8424,-22.4338,37.98
Henties Bay,93,NA,1644254808,72.86,81,-22.116,14.2845,12.93
Udachny,98,RU,1644254809,-22.41,100,66.4167,112.4,4.85
Pisco,20,PE,1644254809,72.01,88,-13.7,-76.2167,8.05
Gambo,65,CF,1644254809,81.19,21,4.6482,22.2633,1.23
Novaya Lyada,96,RU,1644254810,30.36,96,52.7131,41.6387,12.17
San Ignacio,75,BZ,1644254810,77.14,73,17.1561,-89.0714,3.44
Aswān,0,EG,1644254810,67.37,20,24.0934,32.907,12.1
Tai’an,100,CN,1644254811,35.37,35,36.1853,117.12,2.15
Gigmoto,56,PH,1644254811,78.39,86,13.7796,124.39,14.41
Chokurdakh,95,RU,1644254811,-44.66,100,70.6333,147.9167,5.12
Opuwo,99,NA,1644254812,74.23,60,-18.0607,13.84,1.07
Malakal,11,SS,1644254812,80.22,16,9.5334,31.6605,5.59
Manaure,39,CO,1644254812,85.05,60,11.7751,-72.4445,8.34
Gmina Świecie,55,PL,1644254813,38.8,75,53.4095,18.4474,15.1
Santa Cruz del Sur,5,CU,1644254813,84.47,43,20.7147,-77.9956,11.83
The Valley,20,AI,1644254814,82.26,61,18.217,-63.0578,16.11
York,0,US,1644254814,43.21,61,40.1254,-77.0,5.75
San Fernando del Valle de Catamarca,12,AR,1644254682,85.77,41,-28.4696,-65.7852,3.0
Semīrom,2,IR,1644254814,21.78,74,31.4167,51.5667,2.66
Labuhan,96,ID,1644254719,78.66,83,-6.8844,112.2051,8.79
Nanortalik,100,GL,1644254620,12.6,71,60.1432,-45.2371,49.57
Vikārābād,21,IN,1644254815,71.19,46,17.3333,77.9,6.82
Lingao,67,CN,1644254815,68.58,94,19.9103,109.6859,14.25
Belmira,92,CO,1644254816,61.27,72,6.6051,-75.6662,0.49
Cap Malheureux,58,MU,1644254816,79.29,84,-19.9842,57.6142,3.0
Jalu,24,LY,1644254816,64.35,24,29.0331,21.5482,3.0
Yar-Sale,100,RU,1644254817,2.61,89,66.8333,70.8333,14.92
Ankang,53,CN,1644254569,39.65,66,32.68,109.0172,3.62
Itarema,79,BR,1644254817,87.62,59,-2.9248,-39.9167,12.95
Vero Beach,100,US,1644254817,74.05,82,27.6386,-80.3973,4.61
Diré,42,ML,1644254818,98.91,5,12.2833,-10.9667,5.64
Grândola,17,PT,1644254818,68.36,34,38.1772,-8.5668,9.17
Namatanai,100,PG,1644254591,79.52,84,-3.6667,152.4333,3.8
Hilotongan,19,PH,1644254819,79.79,81,11.144,123.6426,15.26
Miyako,41,JP,1644254819,27.03,65,39.6367,141.9525,2.77
Ambon City,40,ID,1644254819,77.14,94,-3.6954,128.1814,2.3
Burnie,89,AU,1644254820,61.95,76,-41.0667,145.9167,13.18
Maragogi,20,BR,1644254820,85.78,56,-9.0122,-35.2225,11.48
Shahr-e Bābak,0,IR,1644254820,43.66,35,30.1165,55.1186,5.55
Yekimovichi,100,RU,1644254821,32.99,99,54.1129,33.2965,7.9
Salta,100,AR,1644254821,69.58,70,-24.7859,-65.4117,10.36
Kaniama,98,CD,1644254821,68.36,93,-7.5667,24.1833,2.86
Iquique,100,CL,1644254822,71.64,65,-20.2208,-70.1431,10.49
Shimoda,84,JP,1644254822,39.11,86,34.6667,138.95,9.93
Dingle,17,PH,1644254822,75.63,89,10.9995,122.6711,8.99
Tselinnoye,100,RU,1644254823,1.94,99,53.0833,85.6667,2.8
Sitka,100,US,1644254823,39.09,75,57.0531,-135.33,6.91
Aykhal,98,RU,1644254824,-24.09,100,66.0,111.5,7.58
Morgan City,0,US,1644254824,51.8,53,29.6994,-91.2068,10.36
Clyde River,0,CA,1644254616,-36.17,67,70.4692,-68.5914,4.61
Jaciara,93,BR,1644254709,80.83,77,-15.9653,-54.9683,2.64
Liku,100,ID,1644254825,75.74,84,-0.7275,119.8922,1.74
Chui,75,UY,1644254653,73.11,60,-33.6971,-53.4616,14.99
Singaraja,100,ID,1644254825,81.97,88,-8.112,115.0882,6.82
Havøysund,99,NO,1644254532,29.28,84,70.9963,24.6622,14.88
Daulatpur,0,PK,1644254826,64.49,33,26.5015,67.9706,1.54
Shepsi,100,RU,1644254826,43.92,65,44.0361,39.1489,17.92
Tura,6,IN,1644254827,53.62,72,25.5198,90.2201,3.06
Benguela,89,AO,1644254827,79.11,67,-12.5763,13.4055,6.08
West Warwick,100,US,1644254683,40.05,93,41.6969,-71.5219,3.44
Vysokogornyy,96,RU,1644254828,-10.73,100,50.1167,139.15,3.67
Boa Vista,75,BR,1644254828,89.58,45,2.8197,-60.6733,14.97
Port Macquarie,76,AU,1644254597,59.9,78,-31.4333,152.9167,8.61
Buala,100,SB,1644254829,81.25,82,-8.145,159.5921,10.18
Methóni,83,GR,1644254829,59.22,80,36.8197,21.7049,22.82
Lere,89,NG,1644254829,84.47,12,10.387,8.5726,8.14
Hofn,98,IS,1644254830,32.61,69,64.2539,-15.2082,33.4
Cabo San Lucas,0,MX,1644254782,74.61,54,22.8909,-109.9124,0.0
Shelburne,45,CA,1644254622,32.67,80,44.0787,-80.2041,13.91
Mandera,47,KE,1644254830,88.92,22,3.9366,41.867,10.25
Sovetskaya,100,RU,1644254831,32.81,79,44.7769,41.1722,9.71
Saquarema,100,BR,1644254831,86.04,81,-22.92,-42.5103,7.43
Erie,100,US,1644254831,38.46,57,42.7667,-78.6664,5.01
Samut Prakan,75,TH,1644254832,88.07,75,13.5,100.45,11.12
Talnakh,51,RU,1644254832,-23.01,95,69.4865,88.3972,6.89
Sol'-Iletsk,100,RU,1644254832,19.87,97,51.1631,54.9918,6.31
Chara,73,RU,1644254833,-13.7,75,56.9064,118.2631,1.19
Tahoua,1,NE,1644254833,84.18,6,14.8888,5.2692,9.22
Pasān,5,IN,1644254833,56.93,28,22.85,82.2,1.57
